상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
아미오 홀리스틱 퍼피,퍼피,ALL,주식,건식,,0.6Cm,한국,한국,26%,16%,4%,6%,0%,1.2%,1%,0%,0%,,"['닭고기생육', '건조닭고기', '유기농 현미', '유기농 보리', '닭지방', '유기농 해바라기씨', '건조연어', '유기농 고구마', '유기농 수수', '유기농 아마씨', '인산칼슘', '천연향', '유기농 귀리', '프락토올리고당', '유산균', '씨벅톤열매', '호로파종자추출물', '알긴산', '타우린', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 당근', '유기농 고수', '유기농 시금치', '유기농 달맞이꽃종자유', '염화콜린', 'IGY', '비타민 E', '비타민 C']"
아미오 홀리스틱 시니어,시니어,ALL,주식,건식,,0.9Cm,한국,한국,21%,12%,4%,6%,0%,1%,1%,0%,0%,,"['생연어', '유기농 현미', '유기농 보리', '건조오리고기', '유기농 고구마', '닭지방', '유기농 해바라기씨', '양고기 생육', '건조연어', '유기농 수수', '유기농 아마씨', '천연향', '인산칼슘', '유기농 귀리', '프락토올리고당', '유산균', '파슬리', '호로파종자추출물', '알긴산', '타우린', '유기농 당근', '유기농 고수', '유기농 시금치', '유기농 달맞이꽃종자유', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '염화콜린', 'IGY', '비타민 E', '비타민 C']"
아미오 홀리스틱 어덜트,어덜트,ALL,주식,건식,,0.9Cm,한국,한국,24%,14%,4%,6%,0%,1%,1%,0%,0%,,"['오리고기생육', '건조오리고기', '유기농 현미', '유기농 보리', '유기농 해바라기씨', '닭지방', '유기농 수수', '유기농 고구마', '건조연어', '구리', '유기농 아마씨', '인산칼슘', '천연향', '프락토올리고당', '유산균', '토마토', '호로파종자추출물', '알긴산', '타우린', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 당근', '유기농 고수', '유기농 시금치', '유기농 달맞이꽃종자유', '염화콜린', 'IGY', '비타민 E', '비타민 C']"
아미오 유기농 퍼피,퍼피,ALL,주식,건식,,0.6Cm,한국,한국,29%,15%,6%,8%,0%,1%,1.2%,0%,0%,,"['유기농 건조 양고기', '유기농 보리', '유기농 해바라기씨', '유기농 고구마', '유기농 현미', '유기농 양고기', '유기농 닭지방', '유기농 아마씨', '인산칼슘', '유기농 천연향', '유기농 귀리', '유기농 올리고당', '타우린', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '알긴산', '염화콜린', '유기농 달맞이꽃종자유', '유기농 당근', '유기농 고수', '유기농 시금치', '유산균', '비타민 C', '초유']"
아미오 유기농 어덜트,어덜트,ALL,주식,건식,,0.9Cm,한국,한국,24%,14%,6%,8%,0%,1%,1.2%,0%,0%,,"['유기농 양고기', '유기농 보리', '유기농 해바라기씨', '유기농 고구마', '유기농 건조 닭고기', '유기농 현미', '유기농 아마씨', '유기농 건조양고기', '유기농 닭지방', '유기농 천연향', '인산칼슘', '유기농 귀리', '유기농 올리고당', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 달맞이꽃종자유', '유기농 당근', '유기농 고수', '유기농 시금치', '알긴산', '염화콜린', '유산균', '비타민 C']"
아미오 유기농 시니어,시니어,ALL,주식,건식,,0.9Cm,한국,한국,22%,13%,6%,8%,0%,1%,1.2%,0%,0%,,"['유기농 양고기', '유기농 보리', '유기농 해바라기씨', '유기농 건조양고기', '유기농 고구마', '유기농 현미', '유기농 수수', '유기농 아마씨', '생연어', '유기농 닭지방', '유기농 천연향', '유기농 귀리', '정제어유', '인산칼슘', '유기농 달맞이꽃종자유', '유기농 당근', '유기농 고수', '유기농 시금치', '유기농 올리고당', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '알긴산', '염화콜린', '유산균', '비타민 C']"
아미오 슬림업,전연령,ALL,주식,건식,,0.9Cm,한국,한국,24%,9%,6%,8%,0%,1%,1.2%,0%,0%,,"['생연어', '유기농 보리', '유기농 고구마', '유기농 해바라기씨', '유기농 현미', '유기농 아마씨', '건조연어', '유기농 건조 닭고기', '유기농 수수', '오리고기', '유기농 닭지방', '인산칼슘', '유기농 천연향', '유기농 귀리', '올리고당', '타우린', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 달맞이꽃종자유', '유기농 당근', '유기농 고수', '유기농 시금치', '알긴산', '염화콜린', '비타민 C']"
아미오 스킨앤뷰티,전연령,ALL,주식,건식,,0.9Cm,한국,한국,23%,12%,6%,8%,0%,1%,1.2%,0%,0%,,"['생연어', '유기농 보리', '유기농 고구마', '유기농 현미', '유기농 해바라기씨', '유기농 양고기', '유기농 닭지방', '유기농 아마씨', '건조연어', '유기농 수수', '기장', '인산칼슘', '유기농 천연향', '정제어유', '유기농 귀리', '올리고당', '유산균', '비타민 A', '비타민 D3', '비타민 K3', '비타민 B1', '비타민 B6', '비타민 B12', '나이아신', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '알긴산', '염화콜린', '유기농 달맞이꽃종자유', '유기농 당근', '유기농 고수', '유기농 시금치', '비타민 C']"
아미오 컴플리트 오리지널,전연령,ALL,주식,건식,,0.9Cm,한국,한국,25%,15%,3.5%,10%,10%,1.3%,0.8%,0%,0%,,"['뼈 바른 생 닭고기', '닭고기분말(건조닭고기)', '병아리콩', '렌틸콩', '완두콩', '고구마', '바나나', '가수분해닭고기', '연어유', '계유', '햄프씨드', '풀무원유산균(PM-08)', '유산균발효추출물(GABA)', '글루코사민', '콘드로이친', 'L-카르니틴', '유카추출물', '정제섬유소', '아마씨', '딸기', '망고', '브로콜리', '비트', '사과', '오렌지', '토마토', '파슬리', '레시틴', 'DL-메치오닌', '비타민 E', '비타민 C', '계란', '효모', '염화칼륨', '비타민 믹스', '미네랄믹스', '미량광물질류합제', '프락토올리고당', '치커리이눌린', '천연한약제', '백리향', '울금', '페뉴그릭', '로즈마리', '트립토판', '프로테아제(단백질분해효소)', '베타카로틴']"
아미오 컴플리트 오리,전연령,ALL,주식,건식,,0.9Cm,한국,한국,27%,14.5%,9%,4%,10%,1.25%,0.8%,0%,0%,,"['뼈 바른 생 닭고기', '생오리고기', '병아리콩', '렌틸콩', '완두콩', '고구마', '바나나', '가수분해닭고기', '연어유', '계유', '햄프씨드', '풀무원유산균(PM-08)', '유산균발효추출물(GABA)', '글루코사민', '콘드로이친', 'L-카르니틴', '유카추출물', '정제섬유소', '아마씨', '딸기', '망고', '브로콜리', '비트', '사과', '오렌지', '토마토', '파슬리', '레시틴', 'DL-메치오닌', '비타민 E', '비타민 C', '계란', '효모', '염화칼륨', '비타민 믹스', '미네랄믹스', '미량광물질류합제', '프락토올리고당', '치커리이눌린', '천연한약제', '백리향', '울금', '페뉴그릭', '로즈마리', '트립토판', '프로테아제(단백질분해효소)', '베타카로틴']"
아미오 컴플리트 연어,전연령,ALL,주식,건식,,0.9Cm,한국,한국,28.5%,15%,9.5%,5%,10%,1.3%,0.8%,0%,0%,,"['뼈 바른 생 닭고기', '생연어', '닭고기분말(건조닭고기)', '병아리콩', '렌틸콩', '완두콩', '고구마', '바나나', '가수분해닭고기', '연어유', '계유', '햄프씨드', '풀무원유산균(PM-08)', '유산균발효추출물(GABA)', '글루코사민', '콘드로이친', 'L-카르니틴', '유카추출물', '정제섬유소', '아마씨', '딸기', '망고', '브로콜리', '비트', '사과', '오렌지', '토마토', '파슬리', '레시틴', 'DL-메치오닌', '비타민 E', '비타민 C', '계란', '효모', '염화칼륨', '비타민 믹스', '미네랄믹스', '미량광물질류합제', '프락토올리고당', '치커리이눌린', '천연한약제', '백리향', '울금', '페뉴그릭', '로즈마리', '트립토판', '프로테아제(단백질분해효소)', '베타카로틴']"
아보덤 그레인프리 치킨 & 포테이토,전연령,ALL,주식,건식,,,미국,미국,28%,13%,5%,0%,10%,0.9%,0.6%,0.4%,1.9%, 비타민E (125 Iu/kg) 아스코르브산 (25 mg/kg),"['치킨', '완두콩', '완두콩 분말', '닭지방', '가르반조 콩', '감자', '토마토박', '타피오카', '아보카도', '천연향', '알팔파', '소금', '아마씨', '비타민 믹스', '황산아연', '아연아미노산킬레이트', '황산철', '황산망간', '망간아미노산킬레이트', '황산구리', '구리아미노산킬레이트', '아셀렌산나트륨', '요오드산칼슘', '해초 분말', '아보카도 오일', '로즈마리 추출물', '세이지 추출물', '파인애플 줄기', '파파인', '바실러스 발효제품', '누룩 곰팡이 발효 제품']"
아보덤 조인트헬스 그레인프리,전연령,ALL,주식,건식,,,미국,미국,30%,12%,6%,0%,10%,1.2%,0.8%,0.5%,1.9%, 비타민E (125 Iu/kg) 아스코르브산 (25 mg/kg),"['치킨', '완두콩', '닭연골', '완두콩 분말', '가르반조 콩', '타피오카', '닭지방', '토마토박', '아보카도 오일', '아마씨', '알팔파', '천연향', '계란', '소금', '염화칼륨', '비타민 믹스', '아연아미노산킬레이트', '황산철', '황산망간', '망간아미노산킬레이트', '황산구리', '구리아미노산킬레이트', '아셀렌산나트륨', '요오드산칼슘', '아보카도 오일', '로즈마리 추출물', '세이지 추출물', '파인애플 줄기', '파파인', '바실러스 발효제품', '누룩 곰팡이 발효 제품']"
아보덤 웨이트 컨트롤 독,전연령,ALL,주식,건식,,,미국,미국,14%,6%,5%,8%,10%,0.8%,0.6%,0.19%,1.9%,,"['현미', '귀리', '미강', '순살 닭고기', '닭지방', '아마씨', '아보카도', '알파파', '아보카도 오일', '청어', '레시틴', '천연향', '비타민E', '나이아신', '판토텐산칼슘', '비타민A', '비타민C', '비타민 B6', '비타민 B1', '비타민 B3', '비타민B12', '비타민 D3', '비오틴', '엽산', '아연아미노산킬레이트', '황산철', '황산망간', '망간아미노산킬레이트', '황산구리', '구리아미노산킬레이트', '아셀렌산나트륨', '요오드산칼슘', '로즈마리추출물', '세이지 추출물', '브로멜라인', '파파인', '바실러스 발효제품', '누룩 곰팡이 발효 제품']"
아보덤 시니어,시니어,ALL,주식,건식,,,미국,미국,17%,10%,6.5%,0%,10%,0.85%,0.7%,0.39%,2.27%,,"['순살 닭고기', '현미', '귀리', '닭지방', '미강', '닭 관절', '아마씨', '청어', '귀리', '아보카도', '알파파', '천연향', '아보카도 오일', '레시틴', '비타민E', '나이아신', '비타민 B3', '비타민B12', '비타민 D3', '비오틴', '엽산', '아연아미노산킬레이트', '황산철', '황산망간', '망간아미노산킬레이트', '황산구리', '구리아미노산킬레이트', '아셀렌산나트륨', '요오드산칼슘', '로즈마리추출물', '세이지 추출물', '브로멜라인', '파파인', '바실러스 발효제품', '누룩 곰팡이 발효 제품']"
아이누 퍼피 치킨,퍼피,ALL,주식,건식,,,벨기에,벨기에,30%,20%,2.5%,7.5%,9%,1.3%,1%,0%,0%,,"['닭고기', '고구마', '닭지방', '감자플레이크', '완두콩', '가수분해 닭고기', '비트펄프', '양조효모', '연어오일', '당밀', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민 C', '판토텐산', '염화콜린', '엽산', '바이오틴', '나이아신', '황산철', '황산구리', '황산아연', '산화망간', '요오드산칼슘', '소듐셀레나이트', '캐롭파우더', '건조계란', '셀룰로오스', '레시틴', '이눌린', '소금']"
아이누 어덜트 살몬 앤 포테이토,어덜트,ALL,주식,건식,,,벨기에,벨기에,26%,16%,3.5%,7.5%,9%,1.3%,1%,0%,0%,,"['감자', '연어', '가수분해 닭고기', '닭지방', '완두콩', '수수', '건조사과', '알팔파', '가수분해치킨단백질', '비트펄프', '건조치커리(FOS,이눌린의 천연소스)', '양조효모(MOS의 천연소스)', '연어오일', '미네랄믹스', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민 C', '판토텐산', '염화콜린', '엽산', '바이오틴', '나이아신', '황산철', '황산구리', '황산아연', '산화망간', '요오드산칼슘', '소듐셀레나이트', '캐롭파우더', '당밀', '건조남극크릴새우(EPA,DHA의 천연소스)', '아마씨', '타우린', '로즈마리추출물', '포도씨추출물', '강황추출물', '씨트러스추출물', '정향추출물', '글루코사민', 'MSM']"
아이누 어덜트 덕 앤 스위트 포테이토,어덜트,ALL,주식,건식,,,벨기에,벨기에,26%,16%,3.5%,7.5%,9%,1.3%,1%,0%,0%,,"['고구마', '오리고기', '닭고기', '닭지방', '완두콩', '비트펄프', '가수분해닭고기', '건조남극크릴새우', '알팔파', '당밀', '건조사과', '비타민 믹스', '염화콜린', '엽산', '바이오틴', '나이아신', '황산철', '황산구리', '황산아연', '산화망간', '요오드산칼슘', '소듐셀레나이트', '양조효모', '캐롭파우더', '아마씨', '건조계란', '소금', '셀룰로오스', '이눌린', '타우린', '로즈마리추출물', '포도씨추출물', '강황추출물', '씨트러스추출물', '정향추출물', '글루코사민', 'MSM']"
아침애 강아지 사료 스타터&퍼피,퍼피,ALL,주식,건식,,,한국,한국,27%,15%,8%,9%,23%,1.7%,0.4%,0%,0%,,"['오리고기', '양고기', '생선', '쌀', '감자', '옥수수', '당근', '블루베리', '가수분해 닭고기', '유카추출물', '아연', '유산균', '식이유황(MSM)', '글리세린', '비타민 E', '프락토올리고당', '연어유(오메가-3)', '비타민 합제', '미네랄(황산아연,아연아미노산킬레이트,황산철,황산망간,망간아미노산킬레이트,황산구리,구리아미노산킬레이트,아셀렌산염,요오드산칼륨)']"
아침애 수제사료 오리&연어&감자,어덜트,ALL,주식,건식,,,한국,한국,23%,11%,10%,10%,23%,1.5%,0.4%,0%,0%,,"['오리고기', '양고기', '생선', '쌀', '감자', '옥수수', '당근', '가수분해 닭고기', '연어유(오메가3)', '블루베리', '유산균', '유카추출물', '아연', '프락토올리고당', '식이유황(MSM)', '글리세린', '비타민 E', '비타민 합제', '미네랄(황산아연,아연아미노산킬레이트,황산철,황산망간,망간아미노산킬레이트,황산구리,구리아미노산킬레이트,아셀렌산염,요오드산칼륨)']"
아침애 수제사료 피부건강,어덜트,ALL,주식,건식,,,한국,한국,27%,15%,5%,10%,23%,2%,0.4%,0%,0%,,"['오리고기', '양고기', '생선', '쌀', '감자', '옥수수', '당근', '가수분해 닭고기', '연어유(오메가3)', '블루베리', '유산균', '유카추출물', '아연', '프락토올리고당', '식이유황(MSM)', '글리세린', '비타민 E', '비타민 합제', '미네랄(황산아연,아연아미노산킬레이트,황산철,황산망간,망간아미노산킬레이트,황산구리,구리아미노산킬레이트,아셀렌산염,요오드산칼륨)']"
아침애 수제사료 채식건강,어덜트,ALL,주식,건식,,,한국,한국,27%,16%,5%,9%,23%,1.5%,0.4%,0%,0%,,"['시금치', '파슬리', '호박', '당근', '고구마', '옥수수', '쌀', '아마씨', '연어유(오메가3)', '유산균', '유카추출물', '아연', '글리세린', '프락토올리고당', '식이유황(MSM)', '비타민 E', '비타민 합제', '미네랄(황산아연,아연아미노산킬레이트,황산철,황산망간,망간아미노산킬레이트,황산구리,구리아미노산킬레이트,아셀렌산염,요오드산칼륨)']"
아침애 수제사료 해조류사료,어덜트,ALL,주식,건식,,,한국,한국,22%,12%,2%,4%,24%,0.05%,0.4%,0%,0%,,"['옥수수', '쌀', '연어유(오메가3)', '글리세린', '프락토올리고당', '다시마', '미역', '파래', '클로렐라', '유카추출물', '유산균', '아연', '비타민 E', '비타민 합제', '미네랄(황산아연,아연아미노산킬레이트,황산철,황산망간,망간아미노산킬레이트,황산구리,구리아미노산킬레이트,아셀렌산염,요오드산칼륨)']"
아침애 수제사료 한우사료,어덜트,ALL,주식,건식,,,한국,한국,23%,11%,10%,10%,0%,1.5%,1.3%,0%,0%,,"['소고기', '생선', '국내산 쌀가루', '국내산 감자분말', '블루베리', '가수분해가금류', '보리', '귀리', '야채', '글리세린', '글루코사민', '콘드로이친', '유카추출물', '프락토올리고당', '오메가3 지방산', '오메가6 지방산', '비타민', '미네랄']"
아침애 수제사료 저칼로리 곤약 다이어트 사료,어덜트,ALL,주식,건식,,,한국,한국,18%,8%,3%,5%,25%,0.01%,0.4%,0%,0%,,"['오리고기', '닭고기', '생선살', '쌀', '감자', '옥수수', '당근', '곤약', '글리세린', '아마씨', '블루베리']"
아카나 퍼피 스몰 브리드,퍼피,소형견,주식,건식,,,캐나다,캐나다,33%,20%,5%,7%,12%,1.5%,1.1%,1%,2.7%, DHA (0.3 %)이상 EPA (0.3 %)이상 글루코사민 (1400 mg/kg) 콘드로이틴 (900 mg/kg),"['뼈를 발라낸 신선한 닭고기 (16%)', '건조 닭고기 (13%)', '건조 칠면조고기 (12%)', '붉은 렌틸콩', '녹색 완두콩', '신선한 닭 내장육 (간, 7%)', '신선한 닭 내장육 (심장)', '신선한 닭 내장육 (신장)', '닭 지방 (7%)', '신선한 통 계란 (4%)', '신선한 가자미 (4%)', '건조 대서양 청어 (3%)', '청어유 (2%)', '햇볕에 건조한 알팔파 (2%)', '녹색 렌틸콩', '잠두 (2%)', '황색 완두콩', '완두 섬유질', '신선한 닭 연골(2%)', '갈색 켈프', '신선한 호박', '신선한 버터넛 스쿼시', '신선한 파스닙', '신선한 녹색 케일', '신선한 시금치', '신선한 겨잣잎', '신선한 순무 잎', '신선한 당근', '신선한 레드 딜리셔스 사과', '신선한 바틀릿 배', '냉동건조 닭 간', '냉동건조 칠면조 간', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '아미노산 킬레이트 아연', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존처리']"
아카나 어덜트 스몰 브리드,어덜트,소형견,주식,건식,,,캐나다,캐나다,31%,17%,5%,7%,12%,1.4%,1.1%,0%,2.6%, 오메가 -3 (1 %)이상 DHA (0.3 %)이상 EPA (0.3 %)이상 글루코사민 (1400 mg) 콘드로이틴 (900 mg),"['뼈를 발라낸 신선한 닭고기 (12%)', '건조 닭고기 (12%)', '건조 칠면조고기 (12%)', '붉은 렌틸콩', '녹색 완두콩', '잠두', '닭 지방 (5%)', '신선한 닭 내장육 (간, 4%)', '신선한 닭 내장육 (심장)', '신선한 닭 내장육 (신장)', '건조 청어 (4%)', '신선한 통 계란 (4%)', '신선한 가자미 (4%)', '청어유 (2%)', '햇볕에 건조한 알팔파 (2%)', '녹색 렌틸콩 (2%)', '황색 완두콩', '완두 섬유질', '신선한 닭 연골 (1%)', '갈색 켈프', '신선한 호박', '신선한 버터넛 스쿼시', '신선한 파스닙', '신선한 녹색 케일', '신선한 시금치', '신선한 겨잣잎', '신선한 순무잎', '신선한 당근', '신선한 레드 딜리셔스사과', '신선한 바틀릿 배', '냉동건조 닭 간', '냉동건조 칠면조 간', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '아미노산 킬레이트 아연', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존처리']"
아카나 라이트 & 피트,어덜트,ALL,주식,건식,,,캐나다,캐나다,35%,11%,8%,7%,12%,1.7%,1.1%,0%,0%, 오메가 -6 (2.2 %)이상 오메가 -3 (0.9 %)이상 DHA (0.3 %)이상 EPA (0.3 %)이상 글루코사민 (1500 mg) 콘드로이틴 (1000 mg),"['뼈를 발라낸 신선한 닭고기 (16%)', '건조 닭고기 (14%)', '건조 칠면조고기 (14%)', '붉은 렌틸콩', '녹색 완두콩', '완두 섬유질', '신선한 닭 내장육 (간, 5%)', '신선한 닭 내장육 (심장)', '신선한 닭 내장육 (신장)', '건조 대서양 청어 (5%)', '신선한 통 계란 (4%)', '신선한 가자미 (4%)', '햇볕에 건조한 알팔파 (4%)', '잠두 (4%)', '녹색 렌틸콩', '황색 완두콩', '닭 지방 (1%)', '청어유 (1%)', '신선한 닭 연골 (1%)', '갈색 켈프', '신선한 호박', '신선한 버터넛 스쿼시', '신선한 파스닙', '신선한 녹색 케일', '신선한 시금치', '신선한 겨잣잎', '신선한 순무 잎', '신선한 당근', '신선한 레드 딜리셔스 사과', '신선한 바틀릿 배', '냉동건조 닭 간', '냉동건조 칠면조 간', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '아미노산 킬레이트 아연', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존처리']"
아카나 프리-런 덕,전연령,ALL,주식,건식,,,캐나다,캐나다,31%,15%,5%,7.5%,12%,1.3%,0.9%,0%,0%, 오메가 -6 (2.2 %)이상 오메가 -3 (0.8 %)이상 DHA (0.15 %)이상 EPA (0.1 %)이상 글루코사민 (1200 mg) 콘드로이틴 (1000 mg),"['뼈를 발라낸 신선한 오리고기 (18%)', '건조 오리고기 (17%)', '녹색 완두콩', '붉은 렌틸콩', '신선한 오리 내장육 (간, 심장, 신장) (7%)', '오리 지방 (6%)', '신선한 바틀릿 배 (4%)', '가반조 빈', '녹색 렌틸콩', '황색 완두콩', '건조 오리 연골 (2%)', '렌틸 섬유질', '해조류 (1.2%) (DHA와 EPA의 순수한 공급원)', '신선한 버터넛 스쿼시', '신선한 호박', '건조 갈색 켈프', '냉동건조 오리 간(0.1%)', '소금', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황 뿌리', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '비타민 E', '킬레이트 아연', '킬레이트 구리', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존처리']"
아카나 요크셔 포크,전연령,ALL,주식,건식,,,캐나다,캐나다,31%,15%,5%,7.5%,12%,1.3%,0.9%,0%,0%, 오메가 -6 (2.2 %)이상 오메가 -3 (0.8 %)이상 DHA (0.15 %)이상 EPA (0.1 %)이상 글루코사민 (1200 mg) 콘드로이틴 (1000 mg),"['신선한 요크셔 돼지고기 (16%)', '건조 돼지고기 (16%)', '풋완두', '붉은 렌틸콩', '신선한 돼지 간 (6%)', '돼지 지방 (6%)', '신선한 돼지 신장 (4%)', '신선한 버터넛 스쿼시 (4%)', '가반조 빈', '녹색 렌틸콩', '황색 완두콩', '건조 돼지 연골 (2%)', '렌틸 섬유질', '해조류 (1.2%) (DHA EPA의 순수한 공급원)', '신선한 호박', '건조 갈색 켈프', '냉동건조 돼지 간 (0.1%)', '소금', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황 뿌리', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '비타민 D3', '비타민 E', '킬레이트 아연', '킬레이트 구리', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존 처리']"
아카나 패시픽 필차드,전연령,ALL,주식,건식,,,캐나다,캐나다,31%,15%,5%,7.5%,12%,1.1%,0.9%,0%,0%, 오메가 -6 (2.5 %)이상 오메가 -3 (1.5 %)이상 DHA (0.4 %)이상 EPA (0.3 %)이상 글루코사민 (700 mg) 콘드로이틴 (900 mg),"['신선한 태평양 정어리 (25%)', '건조 정어리(18%)', '녹색 완두콩', '붉은 렌틸콩', '가반조 빈', '정어리 유 (7%)', '신선한 녹색 케일 (1.5%)', '신선한 순무 잎 (1%)', '냉압착 해바라기유', '렌틸 섬유질', '녹색 렌틸콩', '황색 완두콩', '신선한 버터넛 스쿼시', '신선한 호박', '건조 갈색 켈프', '냉동건조 정어리 (0.1%)', '신선한 크랜베리', '신선한 블루베리', '치커리 뿌리', '강황 뿌리', '밀크 시슬', '우엉 뿌리', '라벤더', '마시멜로 뿌리', '로즈힙', '비타민 E', '킬레이트 아연', '킬레이트 구리', '엔테로코커스 패슘 유산균', '복합 토코페롤(비타민 E)로 천연 보존 처리']"
아투 프리런 독 치킨,어덜트,ALL,주식,건식,,1Cm,영국,영국,32%,16%,3%,7%,8%,1.32%,1.12%,1.1%,3.4%, 글루코사민 (178 mg/kg) 콘드로이틴 (125 mg/kg) MSM (178 mg/kg),"['뼈를 제거한 닭고기(50%)', '건조 닭고기(30%)', '고구마', '병아리콩', '완두콩', '알팔파', '닭육수', '연어오일', '당근', '토마토', '치커리', '타피오카', '사과', '배', '크렌베리', '블루베리', '멀베리', '오렌지', '빌베리', '카우베리', '파슬리', '페퍼민트', '스피룰리나', '해초', '오레가노', '세이지', '마조람', '백리향', '카모마일', '로즈힙', '쐐기풀', '유카', '금잔화', '아니스열매', '호로파', '시나몬', '글루코사민', 'MSM', '콘트로이틴', '오메가6', '오메가3', 'L-카르니틴', '엔로코커스 페슘 유산균', '비타민 A', '비타민 D3', '비타민 E', '황산제일철수화물', '황산아연1수화물', '황산망간1수화물', '황산구리5수화물', '요오드산 칼슘', '아셀렌산나트륨']"
아투 프리런 독 오리 치킨,어덜트,ALL,주식,건식,,1Cm,영국,영국,33%,19%,3%,9%,8%,1.95%,0.99%,1.4%,2.4%, 글루코사민 (178 mg/kg) 콘드로이틴 (125 mg/kg) MSM (178 mg/kg),"['뼈를 제거한 오리고기(51%)', '건조 오리고기(29%)', '고구마', '병아리콩', '완두콩', '알팔파', '연어오일', '오리육수', '당근', '토마토', '치커리', '타피오카', '사과', '배', '크렌베리', '블루베리', '멀베리', '오렌지', '빌베리', '카우베리', '파슬리', '페퍼민트', '스피룰리나', '해초', '오레가노', '세이지', '마조람', '백리향', '카모마일', '로즈힙', '쐐기풀', '유카', '금잔화', '아니스열매', '호로파', '시나몬', '글루코사민', 'MSM', '콘트로이틴', '오메가6', '오메가3', 'L-카르니틴', '엔로코커스 페슘 유산균', '비타민 A', '비타민 D3', '비타민 E', '황산제일철수화물', '황산아연1수화물', '황산망간1수화물', '황산구리5수화물', '요오드산칼슘', '아셀렌산나트륨']"
아투 프리런 독 연어&청어,어덜트,ALL,주식,건식,,1Cm,영국,영국,31%,19%,2.5%,7%,8%,0.98%,0.65%,4.5%,1.9%, 글루코사민 (178 mg/kg) 콘드로이틴 (125 mg/kg) MSM (178 mg/kg),"['뼈를 제거한 연어(51%)', '건조 청어(29%)', '고구마', '병아리콩', '완두콩', '알팔파', '연어육수', '당근', '토마토', '치커리', '타피오카', '사과', '배', '크렌베리', '블루베리', '멀베리', '오렌지', '빌베리', '카우베리', '파슬리', '페퍼민트', '스피룰리나', '해초', '오레가노', '세이지', '마조람', '백리향', '카모마일', '로즈힙', '쐐기풀', '유카', '금잔화', '아니스열매', '호로파', '시나몬', '글루코사민', 'MSM', '콘트로이틴', '오메가6', '오메가3', 'L-카르니틴', '엔로코커스 페슘 유산균', '비타민 A', '비타민 D3', '비타민 E', '황산제일철수화물', '황산아연1수화물', '황산망간1수화물', '황산구리5수화물', '요오드산칼슘', '아셀렌산나트륨']"
